127.0.0.1 - - [13/Mar/2024:08:55:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2024:08:55:59 +0900] "GET /Client/html/ex06_heading.html HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [13/Mar/2024:08:55:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:49 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:51 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:52 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:53 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:08:57 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:22 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:24 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:24 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:24 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:09:43 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:03 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:05 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:05 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:05 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:05 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:05 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:24 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:25 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:25 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:25 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:26 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:27 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:28 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:29 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:09:10:29 +0900] "GET /Client/html/ex07_font.html HTTP/1.1" 200 629
